ID_Parcela;Predio;INDV;CAP;DAP_cm;Angulo -;Angulo +;Angulo +2;Distancia;HT_m;HC_m;Ctronco;A_Basal (m2);Vol_T;Vol_C;;;;;;;
PL105;Morichal ;1;46,6;14,83;10;30;15;13,6;5,44;3,40;;0,02;0,04;0,03;;;;;;;
PL105;Morichal ;27;46,9;14,93;10;40;20;19,83;9,92;5,95;;0,02;0,08;0,05;;;;;;;
PL105;Morichal ;18;47,7;15,18;10;40;20;15,65;7,83;4,70;;0,02;0,06;0,04;;;;;;;
PL105;Morichal ;8;48,5;15,44;10;35;15;16,58;7,46;4,15;;0,02;0,06;0,04;;;;;;;
PL105;Morichal ;13;48,7;15,50;10;35;15;17,2;7,74;4,30;2;0,02;0,07;0,04;;;;;;;
PL105;Morichal ;3;48,8;15,53;10;40;20;16,46;8,23;4,94;2;0,02;0,07;0,04;;;;;;;
PL105;Morichal ;25;49,6;15,79;10;40;20;15,43;7,72;4,63;;0,02;0,07;0,04;;;;;;;
PL105;Morichal ;24;51,4;16,36;10;45;20;15,55;8,55;4,67;;0,02;0,08;0,04;;;;;;;
PL105;Morichal ;23;52,5;16,71;10;35;15;18,43;8,29;4,61;;0,02;0,08;0,05;;;;;;;
PL105;Morichal ;22;52,7;16,77;10;50;20;17,4;10,44;5,22;;0,02;0,10;0,05;;;;;;;
PL105;Morichal ;10;52,9;16,84;10;45;20;15,54;8,55;4,66;;0,02;0,09;0,05;;;;;;;
PL105;Morichal ;28;53,5;17,03;10;45;25;17,94;9,87;6,28;;0,02;0,10;0,06;;;;;;;
PL105;Morichal ;9;53,8;17,13;10;40;20;16,4;8,20;4,92;;0,02;0,09;0,05;;;;;;;
PL105;Morichal ;2;53,9;17,16;10;30;15;15,66;6,26;3,92;;0,02;0,07;0,04;;;;;;;
PL105;Morichal ;12;54,2;17,25;10;20;10;17,6;5,28;3,52;2;0,02;0,06;0,04;;;;;;;
PL105;Morichal ;17;54,6;17,38;10;35;15;16,8;7,56;4,20;;0,02;0,08;0,05;;;;;;;
PL105;Morichal ;29;55,4;17,63;10;45;20;17,6;9,68;5,28;;0,02;0,11;0,06;;;;;;;
PL105;Morichal ;4;55,9;17,79;10;40;15;18,5;9,25;4,63;;0,02;0,10;0,05;;;;;;;
PL105;Morichal ;16;57,6;18,33;10;50;25;16;9,60;5,60;;0,03;0,11;0,07;;;;;;;
PL105;Morichal ;32;58,7;18,68;10;40;20;19,67;9,84;5,90;;0,03;0,12;0,07;;;;;;;
PL105;Morichal ;21;60,4;19,23;10;45;20;15,54;8,55;4,66;;0,03;0,11;0,06;;;;;;;
PL106;Morichal ;20;34,70;11,05;10;20;0;15,57;4,67;1,56;;0,01;0,02;0,01;;;;;;;
PL106;Morichal ;10;35,00;11,14;10;25;5;18,00;6,30;2,70;;0,01;0,03;0,01;;;;;;;
PL106;Morichal ;13;36,30;11,55;10;25;5;16,68;5,84;2,50;;0,01;0,03;0,01;;;;;;;
PL106;Morichal ;1;38,00;12,10;10;30;10;12,75;5,10;2,55;;0,01;0,03;0,01;;;;;;;
PL106;Morichal ;17;38,60;12,29;10;25;10;17,40;6,09;3,48;;0,01;0,03;0,02;;;;;;;
PL106;Morichal ;8;39,50;12,57;10;35;15;12,61;5,67;3,15;;0,01;0,03;0,02;;;;;;;
PL106;Morichal ;7;40,30;12,83;10;40;10;16,73;8,37;3,35;;0,01;0,05;0,02;;;;;;;
PL106;Morichal ;2;45,20;14,39;10;40;15;14,05;7,03;3,51;;0,02;0,05;0,03;;;;;;;
PL106;Morichal ;9;45,70;14,55;10;35;15;14,86;6,69;3,72;;0,02;0,05;0,03;;;;;;;
PL106;Morichal ;12;48,30;15,37;10;20;10;17,55;5,27;3,51;;0,02;0,04;0,03;;;;;;;
PL106;Morichal ;19;48,90;15,57;10;40;20;14,60;7,30;4,38;;0,02;0,06;0,04;;;;;;;
PL106;Morichal ;4;50,50;16,07;10;40;15;20,25;10,13;5,06;;0,02;0,09;0,05;;;;;;;
PL106;Morichal ;3;51,20;16,30;10;40;15;16,63;8,32;4,16;;0,02;0,08;0,04;;;;;;;
PL106;Morichal ;6;51,60;16,42;10;25;10;18,73;6,56;3,75;;0,02;0,06;0,04;;;;;;;
PL106;Morichal ;5;51,70;16,46;10;35;15;15,50;6,98;3,88;;0,02;0,07;0,04;;;;;;;
PL106;Morichal ;14;54,00;17,19;10;45;15;15,30;8,42;3,83;;0,02;0,09;0,04;;;;;;;
PL106;Morichal ;18;56,20;17,89;10;45;20;17,29;9,51;5,19;;0,03;0,11;0,06;;;;;;;
PL106;Morichal ;15;57,30;18,24;10;35;15;16,00;7,20;4,00;;0,03;0,09;0,05;;;;;;;
PL106;Morichal ;16;60,40;19,23;10;30;15;20,14;8,06;5,04;;0,03;0,11;0,07;;;;;;;
PL106;Morichal ;21;62,50;19,89;10;45;20;17,63;9,70;5,29;;0,03;0,14;0,07;;;;;;;
PL108;Morichal ;1;35,7;11,36;10;30;0;19,6;7,84;1,96;;0,01;0,04;0,01;;;;;;;
PL108;Morichal ;21;39,6;12,61;10;45;0;17,27;9,50;1,73;2;0,01;0,05;0,01;;;;;;;
PL108;Morichal ;16;41,4;13,18;10;30;0;19;7,60;1,90;;0,01;0,05;0,01;;;;;;;
PL108;Morichal ;5B;43,7;13,91;10;35;0;21,6;9,72;2,16;;0,02;0,07;0,01;;;;;;;
PL108;Morichal ;5;45,3;14,42;10;40;10;21,18;10,59;4,24;;0,02;0,08;0,03;;;;;;;
PL108;Morichal ;19;48,9;15,57;10;50;15;16,9;10,14;4,23;;0,02;0,09;0,04;;;;;;;
PL108;Morichal ;4;48,9;15,57;10;35;10;20,1;9,05;4,02;;0,02;0,08;0,03;;;;;;;
PL108;Morichal ;10;49,4;15,72;10;25;5;16,93;5,93;2,54;;0,02;0,05;0,02;;;;;;;
PL108;Morichal ;12;50,4;16,04;10;40;10;21,28;10,64;4,26;;0,02;0,10;0,04;;;;;;;
PL108;Morichal ;13;50,7;16,14;10;35;10;18,82;8,47;3,76;;0,02;0,08;0,03;;;;;;;
PL108;Morichal ;20;51,3;16,33;10;50;15;15,84;9,50;3,96;;0,02;0,09;0,04;;;;;;;
PL108;Morichal ;9;52,2;16,62;10;50;15;18,45;11,07;4,61;2;0,02;0,11;0,05;;;;;;;
PL108;Morichal ;15;53,3;16,97;10;30;10;19,1;7,64;3,82;;0,02;0,08;0,04;;;;;;;
PL108;Morichal ;7;53,7;17,09;10;20;10;18,56;5,57;3,71;;0,02;0,06;0,04;;;;;;;
PL108;Morichal ;22;54,1;17,22;10;50;20;16,87;10,12;5,06;;0,02;0,11;0,05;;;;;;;
PL108;Morichal ;17;56,5;17,98;10;50;15;22,14;13,28;5,54;;0,03;0,15;0,06;;;;;;;
PL108;Morichal ;6;57,2;18,21;10;40;10;21,6;10,80;4,32;;0,03;0,13;0,05;;;;;;;
PL108;Morichal ;14;57,3;18,24;10;35;10;22,5;10,13;4,50;2;0,03;0,12;0,05;;;;;;;
PL108;Morichal ;8;59,6;18,97;10;35;10;20;9,00;4,00;;0,03;0,11;0,05;;;;;;;
PL108;Morichal ;11;60,1;19,13;10;45;15;21,76;11,97;5,44;;0,03;0,16;0,07;;;;;;;
PL108;Morichal ;2;61,6;19,61;10;40;15;21,57;10,79;5,39;2;0,03;0,15;0,07;;;;;;;
PL108;Morichal ;18;63,5;20,21;10;45;10;17,32;9,53;3,46;;0,03;0,14;0,05;;;;;;;
PL108;Morichal ;3;64,2;20,44;10;40;15;23,88;11,94;5,97;;0,03;0,18;0,09;;;;;;;
PL108;Morichal ;23;67,3;21,42;10;50;15;20,43;12,26;5,11;;0,04;0,20;0,08;;;;;;;
PL109;Porvenir;11B;32,1;10,22;10;40;10;17,65;8,83;3,53;;0,01;0,03;0,01;;;;;;;
PL109;Porvenir;41;34,6;11,01;10;30;10;19,38;7,75;3,88;2;0,01;0,03;0,02;;;;;;;
PL109;Porvenir;44;35,8;11,40;10;30;10;19,56;7,82;3,91;;0,01;0,04;0,02;;;;;;;
PL109;Porvenir;3;37,3;11,87;10;45;15;19,42;10,68;4,86;;0,01;0,05;0,02;;;;;;;
PL109;Porvenir;43;41,1;13,08;10;30;15;19,85;7,94;4,96;3;0,01;0,05;0,03;;;;;;;
PL109;Porvenir;15;41,3;13,15;10;35;10;17,55;7,90;3,51;2;0,01;0,05;0,02;;;;;;;
PL109;Porvenir;7;42,8;13,62;10;40;10;18,56;9,28;3,71;;0,01;0,06;0,02;;;;;;;
PL109;Porvenir;46;42,8;13,62;10;30;15;16;6,40;4,00;2;0,01;0,04;0,03;;;;;;;
PL109;Porvenir;40;43,3;13,78;10;35;15;22,2;9,99;5,55;;0,01;0,07;0,04;;;;;;;
PL109;Porvenir;48;43,5;13,85;10;45;15;16;8,80;4,00;2;0,02;0,06;0,03;;;;;;;
PL109;Porvenir;27;43,9;13,97;10;20;20;18,17;5,45;5,45;2;0,02;0,04;0,04;;;;;;;
